State,Name,Twitter,Second Account,Affiliation
Alabama,Kay Ivey,@GovernorKayIvey,,R
Alaska,Mike Dunleavy,@GovDunleavy,@MikeDunleavyGov,R
Arizona,Doug Ducey,@dougducey,@9thFloorAZ,R
Arkansas,Asa Hutchinson,@AsaHutchinson,@AsaforAR,R
California,Gavin Newsom,@GavinNewsom,,D
Colorado,Jared Polis,@GovofCO,@jaredpolis,D
Connecticut,Ned Lamont,@GovNedLamont,,D
Delaware,John Carney,@JohnCarneyDE,,D
Florida,Ron DeSantis,@RonDeSantisFL,,R
Georgia,Brian Kemp,@BrianKempGA,@GovKemp,R
Hawaii,David Ige,@GovHawaii,,D
Idaho,Brad Little,@GovernorLittle,@IdahoCOVID19,R
Illinois,J.B. Pritzker,@GovPritzker,@JBPritzker,D
Indiana,Eric Holcomb,@GovHolcomb,,R
Iowa,Kim Reynolds,@IAGovernor,@KimReynoldsIA,R
Kansas,Laura Kelly,@GovLauraKelly,@LauraKellyKS,D
Kentucky,Andy Beshear,@GovAndyBeshear,@AndyBeshearKY,D
Louisiana,John Bel Edwards,@LouisianaGov,@JohnBelforLA,D
Maine,Janet Mills,@GovJanetMills,@JanetMillsforME,D
Maryland,Larry Hogan,@GovLarryHogan,@LarryHogan,R
Massachusetts,Charlie Baker,@MassGovernor,@CharlieBakerMA,R
Michigan,Gretchen Whitmer,@GovWhitmer,@gretchenwhitmer,D
Minnesota,Tim Walz,@GovTimWalz,@Tim_Walz,Democratic-Famer-Labor
Mississippi,Tate Reeves,@tatereeves,,R
Missouri,Mike Parson,@GovParsonMO,@mikeparson,R
Montana,Steve Bullock,@GovernorBullock,@stevebullockmt,D
Nebraska,Pete Ricketts,@GovRicketts,,R
Nevada,Steve Sisolak,@SteveSisolak,,D
New Hampshire,Chris Sununu,@GovChrisSununu,@ChrisSununu,R
New Jersey,Phil Murphy,@GovMurphy,@PhilMurphyNJ,D
New Mexico,Michelle Lujan Grisham,@GovMLG,@Michelle4NM,D
New York,Andrew Cuomo,@NYGovCuomo,,D
North Carolina,Roy Cooper,@NC_Governor,@RoyCooperNC,D
North Dakota,Doug Burgum,@DougBurgum,@DougForDakota,R
Ohio,Mike DeWine,@GovMikeDeWine,@MikeDeWine,R
Oklahoma,Kevin Stitt,@GovStitt,,R
Oregon,Kate Brown,@OregonGovBrown,@KateBrownForOR,D
Pennsylvania,Tom Wolf,@GovernorTomWolf,@TomWolfPA,D
Rhode Island,Gina Raimondo,@GovRaimondo,,D
South Carolina,Henry McMaster,@henrymcmaster,,R
South Dakota,Kristi Noem,@govkristinoem,@KristiNoem,R
Tennessee,Bill Lee,@GovBillLee,@BillLeeTN,R
Texas,Greg Abbott,@GovAbbott,@GregAbbott_TX,R
Utah,Gary Herbert,@GovHerbert,,R
Vermont,Phil Scott,@GovPhilScott,,R
Virginia,Ralph Northam,@GovernorVA,@RalphNortham,D
Washington,Jay Inslee,@GovInslee,@JayInslee,D
West Virginia,Jim Justice,@JimJusticeWV,@WVGovernor,R
Wisconsin,Tony Evers,@GovEvers,@Tony4WI,D
Wyoming,Mark Gordon,@GovernorGordon,,R
