id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1256006263969853441,1255986684296036355,1588290203000,2020-04-30,19:43:23,EDT,632822423,traddslayton,Tradd Slayton,,#reopennc #recallcooper pic.twitter.com/AgHPyQAZ1u,"['nc_governor', 'ncdhhs']",[],['https://pbs.twimg.com/media/EW47CkVX0AIgGOD.jpg'],5,3,22,"['#reopennc', '#recallcooper']",[],https://twitter.com/TraddSlayton/status/1256006263969853441,False,,0,,,,,,,"[{'user_id': '632822423', 'username': 'TraddSlayton'}, {'user_id': '813792250497028102', 'username': 'NC_Governor'}, {'user_id': '1667792120', 'username': 'ncdhhs'}]",,,,
1255999935675346944,1255986684296036355,1588288694000,2020-04-30,19:18:14,EDT,1132894860351029248,godsplan47,Effie James,,"Roy, thank you for having common damn sense and looking out for NC!","['nc_governor', 'ncdhhs']",[],[],0,0,20,[],[],https://twitter.com/godsplan47/status/1255999935675346944,False,,0,,,,,,,"[{'user_id': '1132894860351029248', 'username': 'godsplan47'}, {'user_id': '813792250497028102', 'username': 'NC_Governor'}, {'user_id': '1667792120', 'username': 'ncdhhs'}]",,,,
1255997677017477120,1255986684296036355,1588288156000,2020-04-30,19:09:16,EDT,1254557710391169026,nedd2ds,Nedd,,"LOW NUMBERS, yet the Governor and Mandy Cohen continue to recommend a Turtle's pace reopening. Meanwhile the economy is crashing. #HerdImmunity #ReOpenNC NOW!",['nc_governor'],[],[],5,1,23,"['#herdimmunity', '#reopennc']",[],https://twitter.com/Nedd2ds/status/1255997677017477120,False,,0,,,,,,,"[{'user_id': '1254557710391169026', 'username': 'Nedd2ds'}, {'user_id': '813792250497028102', 'username': 'NC_Governor'}]",,,,
1255995719443456001,1255986684296036355,1588287689000,2020-04-30,19:01:29,EDT,281606095,tylerbaker71,gingersledge,,Dang cooper that is a sweet looking haircut you have there....,"['nc_governor', 'ncdhhs']",[],[],1,2,15,[],[],https://twitter.com/TylerBaker71/status/1255995719443456001,False,,0,,,,,,,"[{'user_id': '281606095', 'username': 'TylerBaker71'}, {'user_id': '813792250497028102', 'username': 'NC_Governor'}, {'user_id': '1667792120', 'username': 'ncdhhs'}]",,,,
1255992360254803972,1255986684296036355,1588286888000,2020-04-30,18:48:08,EDT,4430267433,ann_boger,Ann Boger,,"Every day means more unemployed, more businesses shuttered, more hungry ppl, more ppl not getting needed medical treatments, more ppl dying of untreated conditions, more ppl who can’t pay rent/mortgage payments, more hospitals and doctors bankrupt, but, yeah, show slides...","['nc_governor', 'roycoopernc', 'ncdhhs']",[],[],4,6,42,[],[],https://twitter.com/ann_boger/status/1255992360254803972,False,,0,,,,,,,"[{'user_id': '4430267433', 'username': 'ann_boger'}, {'user_id': '813792250497028102', 'username': 'NC_Governor'}, {'user_id': '1712960918', 'username': 'RoyCooperNC'}, {'user_id': '1667792120', 'username': 'ncdhhs'}]",,,,
1255991809173606407,1255986684296036355,1588286757000,2020-04-30,18:45:57,EDT,2610249797,cas28117,Chuck,,If you want to keep us safe then enforce social distancing. Going to Lowe's is a joke. Too many people in the store. No limits on number of shoppers. This is what's going to happen when you open businesses unless you use enforcement.,"['nc_governor', 'ncdhhs']",[],[],3,0,15,[],[],https://twitter.com/cas28117/status/1255991809173606407,False,,0,,,,,,,"[{'user_id': '2610249797', 'username': 'cas28117'}, {'user_id': '813792250497028102', 'username': 'NC_Governor'}, {'user_id': '1667792120', 'username': 'ncdhhs'}]",,,,
1255991561650876421,1255986684296036355,1588286698000,2020-04-30,18:44:58,EDT,1437322411,dubdiggler08,I’m Nobody ⭐️🙏⭐️🙏⭐️🙏,,"We’ve been staying home smart guy. You said 500 plus still hot infected in the last few days. How is it that no Walmart’s, Targets, Lowe’s, or Home Depot’s have had a mass infection? Thousands of people there a week? You catch what I’m throwing? #VoteCooperOut",['nc_governor'],[],[],2,1,14,['#votecooperout'],[],https://twitter.com/dubdiggler08/status/1255991561650876421,False,,0,,,,,,,"[{'user_id': '1437322411', 'username': 'dubdiggler08'}, {'user_id': '813792250497028102', 'username': 'NC_Governor'}]",,,,
1255989724336046080,1255986684296036355,1588286260000,2020-04-30,18:37:40,EDT,761008015755599872,respect_4,Respect 4 All,,🧐 Have you ever considered going out is being kind to those you love and others? Herd Immunity?,"['nc_governor', 'ncdhhs']",[],[],4,2,16,[],[],https://twitter.com/respect_4/status/1255989724336046080,False,,0,,,,,,,"[{'user_id': '761008015755599872', 'username': 'respect_4'}, {'user_id': '813792250497028102', 'username': 'NC_Governor'}, {'user_id': '1667792120', 'username': 'ncdhhs'}]",,,,
1255988966815338502,1255986684296036355,1588286079000,2020-04-30,18:34:39,EDT,72917533,axemanco3,Brant Kelly,,Mortality rate of 0.0359. And that is probably high since we have lots of unconfirmed cases walking around. Not worth killing the state economy.,['nc_governor'],[],[],4,5,27,[],[],https://twitter.com/axemanco3/status/1255988966815338502,False,,0,,,,,,,"[{'user_id': '72917533', 'username': 'axemanco3'}, {'user_id': '813792250497028102', 'username': 'NC_Governor'}]",,,,
1255987296517660673,1255986684296036355,1588285681000,2020-04-30,18:28:01,EDT,345810634,hounddawgstudio,HoundDawgStudio🌈,,Thankful for a governor & team that works so hard to keep us safe. 💙,"['nc_governor', 'ncdhhs']",[],[],0,1,41,[],[],https://twitter.com/HoundDawgStudio/status/1255987296517660673,False,,0,,,,,,,"[{'user_id': '345810634', 'username': 'HoundDawgStudio'}, {'user_id': '813792250497028102', 'username': 'NC_Governor'}, {'user_id': '1667792120', 'username': 'ncdhhs'}]",,,,
1255987216976928768,1255986684296036355,1588285662000,2020-04-30,18:27:42,EDT,1239629130519515136,garysul17418380,Gary Sullivan,,Doing a good job Governer,"['nc_governor', 'ncdhhs']",[],[],1,0,46,[],[],https://twitter.com/GarySul17418380/status/1255987216976928768,False,,0,,,,,,,"[{'user_id': '1239629130519515136', 'username': 'GarySul17418380'}, {'user_id': '813792250497028102', 'username': 'NC_Governor'}, {'user_id': '1667792120', 'username': 'ncdhhs'}]",,,,
1255987029869027328,1255986684296036355,1588285617000,2020-04-30,18:26:57,EDT,1250160416065454081,positivecat6961,POSITIVECAT696969,,Neither one of you could hold a straight face during your update! We all know your lying!,"['nc_governor', 'ncdhhs']",[],[],5,0,22,[],[],https://twitter.com/POSITIVECAT6961/status/1255987029869027328,False,,0,,,,,,,"[{'user_id': '1250160416065454081', 'username': 'POSITIVECAT6961'}, {'user_id': '813792250497028102', 'username': 'NC_Governor'}, {'user_id': '1667792120', 'username': 'ncdhhs'}]",,,,
1255986689941667841,1255986684296036355,1588285536000,2020-04-30,18:25:36,EDT,813792250497028102,nc_governor,Governor Roy Cooper,,"As of today, North Carolina has 10,509 lab-confirmed cases, 546 people in the hospital, and 378 deaths due to COVID-19.",[],[],[],72,32,104,[],[],https://twitter.com/NC_Governor/status/1255986689941667841,False,,0,,,,,,,"[{'user_id': '813792250497028102', 'username': 'NC_Governor'}]",,,,
1255986689119526912,1255986684296036355,1588285536000,2020-04-30,18:25:36,EDT,813792250497028102,nc_governor,Governor Roy Cooper,,"“If we stay home now to protect our loved ones and our communities, we can put ourselves on a path to begin easing restrictions and moving forward as planned."" - Dr. Cohen.",[],[],[],47,25,177,[],[],https://twitter.com/NC_Governor/status/1255986689119526912,False,,0,,,,,,,"[{'user_id': '813792250497028102', 'username': 'NC_Governor'}]",,,,
1255986688335241216,1255986684296036355,1588285536000,2020-04-30,18:25:36,EDT,813792250497028102,nc_governor,Governor Roy Cooper,,“North Carolinians have made tremendous sacrifices and it is making a difference. We remain hopeful that the trends will be stable enough to move into Phase 1 next week.” - Gov. Cooper.,[],[],[],16,12,68,[],[],https://twitter.com/NC_Governor/status/1255986688335241216,False,,0,,,,,,,"[{'user_id': '813792250497028102', 'username': 'NC_Governor'}]",,,,
1255986686330310657,1255986684296036355,1588285535000,2020-04-30,18:25:35,EDT,813792250497028102,nc_governor,Governor Roy Cooper,,"Dr. Cohen gave the latest on some of the metrics we're tracking. 

You can view the full slide presentation here:   https://files.nc.gov/governor/documents/files/NCDHHS_043020.pdf … pic.twitter.com/pnoHCjf3lz",[],['https://files.nc.gov/governor/documents/files/NCDHHS_043020.pdf'],"['https://pbs.twimg.com/media/EW4ndJ_XQAIBqCY.png', 'https://pbs.twimg.com/media/EW4ndLIWkAAYj6a.jpg', 'https://pbs.twimg.com/media/EW4ndLmWsAMhGFT.png', 'https://pbs.twimg.com/media/EW4ndMfXgAMwAJe.jpg']",13,20,54,[],[],https://twitter.com/NC_Governor/status/1255986686330310657,False,,0,,,,,,,"[{'user_id': '813792250497028102', 'username': 'NC_Governor'}]",,,,
1255960549998964738,1255959403678793738,1588279304000,2020-04-30,16:41:44,EDT,552120874,nikwasi,Southern Highlander NC,,"You're handling the crisis well, Gov. Cooper. I fully support you.",['nc_governor'],[],[],4,0,15,[],[],https://twitter.com/nikwasi/status/1255960549998964738,False,,0,,,,,,,"[{'user_id': '552120874', 'username': 'nikwasi'}, {'user_id': '813792250497028102', 'username': 'NC_Governor'}]",,,,
1255947583131922441,1255935404018204673,1588276212000,2020-04-30,15:50:12,EDT,829541631674220544,hnseal2,long time no seal,,"@RoyCooperNC, if you’re reading this please know that you’ve made the once-unthinkable happen: my mom randomly sending me this text, obviously having just watched your briefing. She’s a registered Republican. 

Thank you for making science and expertise great again. 👏💯
#ncpol pic.twitter.com/884qk14wVD","['nc_governor', 'roycoopernc']",[],['https://pbs.twimg.com/media/EW4Fq2NXsAA4oWi.jpg'],1,2,15,['#ncpol'],[],https://twitter.com/HNSeal2/status/1255947583131922441,False,,0,,,,,,,"[{'user_id': '829541631674220544', 'username': 'HNSeal2'}, {'user_id': '813792250497028102', 'username': 'NC_Governor'}, {'user_id': '1712960918', 'username': 'RoyCooperNC'}]",,,,
1255945091711152130,1255935404018204673,1588275618000,2020-04-30,15:40:18,EDT,717409819699843072,1978ncaachamps1,Jay Coffman,,#1TermGovCooper...Worst Governor in NC history! Vote for Dan Forest Governor of NC. Open up NC NOW!!!,"['nc_governor', 'unc']",[],[],0,0,13,['#1termgovcooper'],[],https://twitter.com/1978NCAAChamps1/status/1255945091711152130,False,,0,,,,,,,"[{'user_id': '717409819699843072', 'username': '1978NCAAChamps1'}, {'user_id': '813792250497028102', 'username': 'NC_Governor'}, {'user_id': '20683724', 'username': 'UNC'}]",,,,
1255940009288437762,1255933750988271616,1588274407000,2020-04-30,15:20:07,EDT,1676694482,slayerof666,Ian Burke,,Thank you Gov Cooper for informing us. I appreciate your transparency on what needs to happen in order for it to be safe to end the stay-at-home order. The replies here are losing their mind that they have to stay home to keep themselves and others safe,['nc_governor'],[],[],2,0,14,[],[],https://twitter.com/slayerof666/status/1255940009288437762,False,,0,,,,,,,"[{'user_id': '1676694482', 'username': 'slayerof666'}, {'user_id': '813792250497028102', 'username': 'NC_Governor'}]",,,,
1255939282642046979,1255935404018204673,1588274233000,2020-04-30,15:17:13,EDT,813792250497028102,nc_governor,Governor Roy Cooper,,"This plan is based on data, science and facts. It prioritizes the health and safety of our communities while focusing on ways to jumpstart our economy safely. Doing it the right way will give people confidence in institutions and each other that it is safe to move forward.",[],[],[],56,20,119,[],[],https://twitter.com/NC_Governor/status/1255939282642046979,False,,0,,,,,,,"[{'user_id': '813792250497028102', 'username': 'NC_Governor'}]",,,,
1255939176631017475,1255935404018204673,1588274208000,2020-04-30,15:16:48,EDT,813792250497028102,nc_governor,Governor Roy Cooper,,"Learning about new drugs and vaccine development is encouraging. But they will take time. Our job is to do what we know works right now. Keep our physical distance, sanitize, stay at home. I know this is a difficult time for many people, but there is hope and there is a plan.",[],[],[],24,17,138,[],[],https://twitter.com/NC_Governor/status/1255939176631017475,False,,0,,,,,,,"[{'user_id': '813792250497028102', 'username': 'NC_Governor'}]",,,,
1255939115331223552,1255935404018204673,1588274193000,2020-04-30,15:16:33,EDT,813792250497028102,nc_governor,Governor Roy Cooper,,"Though our lives have been forever changed, there are signs of hope. An experimental drug tested at @UNC shows promise of easing COVID-19 symptoms. I want to thank the researchers for their work. It shows the importance of strong research and science at our state universities.",['unc'],[],[],22,13,107,[],[],https://twitter.com/NC_Governor/status/1255939115331223552,False,,0,,,,,,,"[{'user_id': '813792250497028102', 'username': 'NC_Governor'}, {'user_id': '20683724', 'username': 'UNC'}]",,,,
1255937859850326017,1255935404018204673,1588273894000,2020-04-30,15:11:34,EDT,3060290548,justintimenc,Justin MD,,Thank you for being a great governor!,['nc_governor'],[],[],0,0,18,[],[],https://twitter.com/JustInTimeNC/status/1255937859850326017,False,,0,,,,,,,"[{'user_id': '3060290548', 'username': 'JustInTimeNC'}, {'user_id': '813792250497028102', 'username': 'NC_Governor'}]",,,,
1255937044204924929,1255935404018204673,1588273700000,2020-04-30,15:08:20,EDT,25316641,suzanne638,Suzanne Sternkopf,,"How is any grocery store, walmart different from mom and pop shops? Wiping down  a cart handle is not the answer. You need to look at this county by county",['nc_governor'],[],[],1,2,15,[],[],https://twitter.com/suzanne638/status/1255937044204924929,False,,0,,,,,,,"[{'user_id': '25316641', 'username': 'suzanne638'}, {'user_id': '813792250497028102', 'username': 'NC_Governor'}]",,,,
1255936619032514561,1255935404018204673,1588273598000,2020-04-30,15:06:38,EDT,591280750,mellovesbeach,MamaKoz,,"Thank you Governor Cooper for acknowledging these Coronavirus cases and deaths are people - not just numbers. My family & I thank you for your cool head, and leadership regarding keeping North Carolina’s citizens safe during this Pandemic.",['nc_governor'],[],[],3,2,22,[],[],https://twitter.com/MELLOVESBEACH/status/1255936619032514561,False,,0,,,,,,,"[{'user_id': '591280750', 'username': 'MELLOVESBEACH'}, {'user_id': '813792250497028102', 'username': 'NC_Governor'}]",,,,
1255936293550411778,1255935404018204673,1588273521000,2020-04-30,15:05:21,EDT,813792250497028102,nc_governor,Governor Roy Cooper,,"That’s why we’re looking at facts & science to guide the way. That’s why we’re asking businesses to take precautions for their employees and customers. We must get the economy running better, but we need working people to trust that they will feel safe as we move forward.",[],[],[],15,12,87,[],[],https://twitter.com/NC_Governor/status/1255936293550411778,False,,0,,,,,,,"[{'user_id': '813792250497028102', 'username': 'NC_Governor'}]",,,,
1255936236612661251,1255935404018204673,1588273507000,2020-04-30,15:05:07,EDT,813792250497028102,nc_governor,Governor Roy Cooper,,"Even as we ease restrictions, if you the people don’t feel safe, it won’t work. In order for the people to be with us, there has to be trust and a knowledge that they can feel safe when they work, shop and eat out.",[],[],[],17,11,68,[],[],https://twitter.com/NC_Governor/status/1255936236612661251,False,,0,,,,,,,"[{'user_id': '813792250497028102', 'username': 'NC_Governor'}]",,,,
1255936081113088002,1255935404018204673,1588273470000,2020-04-30,15:04:30,EDT,813792250497028102,nc_governor,Governor Roy Cooper,,"The three-phase plan is like a dimmer switch, letting us gradually lift restrictions so that we can get moving again without a dangerous spike in infections. This approach and the indicators we're watching follow the guidance of the President’s Coronavirus Task Force.",[],[],[],9,6,43,[],[],https://twitter.com/NC_Governor/status/1255936081113088002,False,,0,,,,,,,"[{'user_id': '813792250497028102', 'username': 'NC_Governor'}]",,,,
1255935992235728901,1255935404018204673,1588273449000,2020-04-30,15:04:09,EDT,813792250497028102,nc_governor,Governor Roy Cooper,,"My message today is to stay vigilant. Right now, we need people to continue following the Stay At Home order so that we can move into the phases of easing restrictions. Complacency could risk lives and undo these plans.",[],[],[],24,15,72,[],[],https://twitter.com/NC_Governor/status/1255935992235728901,False,,0,,,,,,,"[{'user_id': '813792250497028102', 'username': 'NC_Governor'}]",,,,
1255935934320783362,1255935404018204673,1588273435000,2020-04-30,15:03:55,EDT,813792250497028102,nc_governor,Governor Roy Cooper,,Last week we shared details on key indicators we’re watching to ensure data & facts guide our decisions. Those graphs are updated daily on the Case Count Dashboard at  http://nc.gov/covid19 . We remain optimistic the trends will be stable enough to move us into Phase 1 next week.,[],['http://nc.gov/covid19'],[],1,5,30,[],[],https://twitter.com/NC_Governor/status/1255935934320783362,False,,0,,,,,,,"[{'user_id': '813792250497028102', 'username': 'NC_Governor'}]",,,,
1255935740707516425,1255935404018204673,1588273389000,2020-04-30,15:03:09,EDT,813792250497028102,nc_governor,Governor Roy Cooper,,"Last week, we shared our three-phase plan to ease restrictions & how we’ll measure progress. Some are on track but there are potential warning signs ahead. But, you’ve made tremendous sacrifices & it’s working. By looking out for your health & others, you're making a difference.",[],[],[],7,5,31,[],[],https://twitter.com/NC_Governor/status/1255935740707516425,False,,0,,,,,,,"[{'user_id': '813792250497028102', 'username': 'NC_Governor'}]",,,,
1255935736257425408,1255933750988271616,1588273388000,2020-04-30,15:03:08,EDT,1023996695510765568,the28isback,4-leaf 🍀🇮🇪,,#openNC pic.twitter.com/m8yfmnoms5,['nc_governor'],[],[],0,3,15,['#opennc'],[],https://twitter.com/the28isBACK/status/1255935736257425408,False,,1,,,,,,,"[{'user_id': '1023996695510765568', 'username': 'the28isBACK'}, {'user_id': '813792250497028102', 'username': 'NC_Governor'}]",,,,
1255935096638656513,1255933750988271616,1588273235000,2020-04-30,15:00:35,EDT,35200149,billjac2,billjac2,,"Open beaches, gyms, hair salons and restaurants to make people's lives better and to employ tens of thousands.  Elective surgery should begin everywhere in the state.  You're squashing us for no good reason.",['nc_governor'],[],[],1,0,18,[],[],https://twitter.com/billjac2/status/1255935096638656513,False,,0,,,,,,,"[{'user_id': '35200149', 'username': 'billjac2'}, {'user_id': '813792250497028102', 'username': 'NC_Governor'}]",,,,
1255934181697257473,1255933750988271616,1588273017000,2020-04-30,14:56:57,EDT,876552968765669378,sopisteelers,Fore Right!!🇺🇸,,"The words ""it's ok to open your businesses"" should be what comes out of his mouth.",['nc_governor'],[],[],3,1,14,[],[],https://twitter.com/sopisteelers/status/1255934181697257473,False,,0,,,,,,,"[{'user_id': '876552968765669378', 'username': 'sopisteelers'}, {'user_id': '813792250497028102', 'username': 'NC_Governor'}]",,,,
1255934062528782339,1255933750988271616,1588272989000,2020-04-30,14:56:29,EDT,290641643,djohnston53,Anonymous Source,,"In other words, another stupid delay.

#ReopenNC  Now!!!",['nc_governor'],[],[],2,0,20,['#reopennc'],[],https://twitter.com/djohnston53/status/1255934062528782339,False,,0,,,,,,,"[{'user_id': '290641643', 'username': 'djohnston53'}, {'user_id': '813792250497028102', 'username': 'NC_Governor'}]",,,,
1255908387558174721,1255905180731744257,1588266867000,2020-04-30,13:14:27,EDT,1250780364039237634,thomasc34022127,Thomas Castro,,Maybe if you weren’t getting your direction from the DNC these kids could have the graduation and senior year experience they deserve.,['nc_governor'],[],[],3,1,15,[],[],https://twitter.com/ThomasC34022127/status/1255908387558174721,False,,0,,,,,,,"[{'user_id': '1250780364039237634', 'username': 'ThomasC34022127'}, {'user_id': '813792250497028102', 'username': 'NC_Governor'}]",,,,
1255862985840566274,1255850672802725888,1588256043000,2020-04-30,10:14:03,EDT,912699126835482626,toml1969,Thomas Lesser,,No reason not to open NC today #opennc pic.twitter.com/xVZAPCeyPR,['nc_governor'],[],['https://pbs.twimg.com/media/EW24pXyWkAUScsB.jpg'],1,3,13,['#opennc'],[],https://twitter.com/TomL1969/status/1255862985840566274,False,,0,,,,,,,"[{'user_id': '912699126835482626', 'username': 'TomL1969'}, {'user_id': '813792250497028102', 'username': 'NC_Governor'}]",,,,
1255861569055010816,1255850672802725888,1588255705000,2020-04-30,10:08:25,EDT,1245500577330737155,jackstrawkansas,Jack Straw,, pic.twitter.com/ZwG9eRKYKX,['nc_governor'],[],['https://pbs.twimg.com/media/EW23cFcWsAAwqSp.jpg'],0,2,21,[],[],https://twitter.com/jackstrawkansas/status/1255861569055010816,False,,0,,,,,,,"[{'user_id': '1245500577330737155', 'username': 'jackstrawkansas'}, {'user_id': '813792250497028102', 'username': 'NC_Governor'}]",,,,
1255859869539799041,1255850672802725888,1588255300000,2020-04-30,10:01:40,EDT,3331634031,infantry0300,"Private Joker, USMC",,"Thank you @NC_Governor for your hard work, keeping NC safe, and not succumbing to the pressure from the Free Dumb fighters of the #ReOpenNC (bowel) movement. #StayAtHome pic.twitter.com/D1rD8X35DO",['nc_governor'],[],['https://pbs.twimg.com/media/EW214qNXsAEb2Rj.jpg'],8,5,45,"['#reopennc', '#stayathome']",[],https://twitter.com/Infantry0300/status/1255859869539799041,False,,0,,,,,,,"[{'user_id': '3331634031', 'username': 'Infantry0300'}, {'user_id': '813792250497028102', 'username': 'NC_Governor'}]",,,,
