id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1256008448023490560,1256008448023490560,1588290724000,2020-04-30,19:52:04,EDT,1080586433088258048,govsisolak,Governor Sisolak,,"Please tune in at 5 p.m., as I discuss Nevada United: Roadmap to Recovery. You can watch the stream here:   https://livestream.com/ndemmedia/governorsisolak043020 … 

And you can see the plan online here:  https://nvhealthresponse.nv.gov/wp-content/uploads/2020/04/NEVADA-UNITED-ROADMAP-TO-RECOVERY.pdf …",[],"['https://livestream.com/ndemmedia/governorsisolak043020', 'https://nvhealthresponse.nv.gov/wp-content/uploads/2020/04/NEVADA-UNITED-ROADMAP-TO-RECOVERY.pdf']",[],77,31,110,[],[],https://twitter.com/GovSisolak/status/1256008448023490560,False,,0,,,,,,,"[{'user_id': '1080586433088258048', 'username': 'GovSisolak'}]",,,,
1255914252373651458,1255914252373651458,1588268266000,2020-04-30,13:37:46,EDT,1080586433088258048,govsisolak,Governor Sisolak,,"At 5 pm tonight, I will unveil Nevada United: Roadmap to Recovery, our State’s plan to reopen the economy while continuing to safeguard Nevadans again COVID19. You’ll be able to follow along here: https://livestream.com/ndemmedia/GovernorSisolak043020 …",[],['https://livestream.com/ndemmedia/GovernorSisolak043020'],[],285,185,621,[],[],https://twitter.com/GovSisolak/status/1255914252373651458,False,,0,,,,,,,"[{'user_id': '1080586433088258048', 'username': 'GovSisolak'}]",,,,
1255909808261103616,1255909808261103616,1588267206000,2020-04-30,13:20:06,EDT,1080586433088258048,govsisolak,Governor Sisolak,,Tune in to hear @nvsupt present the Nevada Department of Education Path Forward plan 👇👇 https://twitter.com/nvsupt/status/1255908545175969793 …,['nvsupt'],['https://twitter.com/nvsupt/status/1255908545175969793'],[],55,15,53,[],[],https://twitter.com/GovSisolak/status/1255909808261103616,False,https://twitter.com/NVSupt/status/1255908545175969793,0,,,,,,,"[{'user_id': '1080586433088258048', 'username': 'GovSisolak'}, {'user_id': '1700983088', 'username': 'NVSupt'}]",,,,
1255701737815474176,1255701737815474176,1588217598000,2020-04-29,23:33:18,EDT,1080586433088258048,govsisolak,Governor Sisolak,,"Congrats, Aiyana, for being Nevada’s Hero of the Day! Thank you for all you are doing to help Nevada beat #COVID19 https://twitter.com/NVHealthRespon1/status/1255693533576454144 …",[],['https://twitter.com/NVHealthRespon1/status/1255693533576454144'],[],31,12,166,['#covid19'],[],https://twitter.com/GovSisolak/status/1255701737815474176,False,https://twitter.com/NVHealthRespon1/status/1255693533576454144,0,,,,,,,"[{'user_id': '1080586433088258048', 'username': 'GovSisolak'}]",,,,
1255682613521510400,1255682466112659456,1588213039000,2020-04-29,22:17:19,EDT,1080586433088258048,govsisolak,Governor Sisolak,,You can see the full @nevadaready plan here:  http://www.doe.nv.gov/News__Media/Press_Releases/2020/Nevada_Department_of_Education_Releases_Path_Forward_Plan_-_Responding_to_COVID-19/ …,['nevadaready'],['http://www.doe.nv.gov/News__Media/Press_Releases/2020/Nevada_Department_of_Education_Releases_Path_Forward_Plan_-_Responding_to_COVID-19/'],[],39,16,100,[],[],https://twitter.com/GovSisolak/status/1255682613521510400,False,,0,,,,,,,"[{'user_id': '1080586433088258048', 'username': 'GovSisolak'}, {'user_id': '2385861661', 'username': 'NevadaReady'}]",,,,
1255682553849102336,1255682466112659456,1588213024000,2020-04-29,22:17:04,EDT,1080586433088258048,govsisolak,Governor Sisolak,,"Along with our economic recovery plans, the Path Forward Plan will rely on the advice of experts to provide support to each district and charter school in developing and implementing a safe approach to re-opening our school buildings for the next school year.",[],[],[],39,8,86,[],[],https://twitter.com/GovSisolak/status/1255682553849102336,False,,0,,,,,,,"[{'user_id': '1080586433088258048', 'username': 'GovSisolak'}]",,,,
1255682503362281472,1255682466112659456,1588213012000,2020-04-29,22:16:52,EDT,1080586433088258048,govsisolak,Governor Sisolak,,"This Path Forward Plan include establishing a Re-Opening of Schools Committee, which will help develop guidance for schools to create and implement safe, efficient and equitable plans for returning to school buildings in the next school year.",[],[],[],10,4,57,[],[],https://twitter.com/GovSisolak/status/1255682503362281472,False,,0,,,,,,,"[{'user_id': '1080586433088258048', 'username': 'GovSisolak'}]",,,,
1255682466112659456,1255682466112659456,1588213004000,2020-04-29,22:16:44,EDT,1080586433088258048,govsisolak,Governor Sisolak,,"ICYMI, @nevadaready released its Path Forward Plan today, part of the State’s long-term strategy to reopening. I am thankful to @NVsupt and all our local education leaders who are undertaking this important work.","['nevadaready', 'nvsupt']",[],[],116,29,205,[],[],https://twitter.com/GovSisolak/status/1255682466112659456,False,,0,,,,,,,"[{'user_id': '1080586433088258048', 'username': 'GovSisolak'}, {'user_id': '2385861661', 'username': 'NevadaReady'}, {'user_id': '1700983088', 'username': 'NVSupt'}]",,,,
1255672147797667842,1255664389698379776,1588210543000,2020-04-29,21:35:43,EDT,1080586433088258048,govsisolak,Governor Sisolak,,"Check out the full press release, the guidance and the directive here:  https://nvhealthresponse.nv.gov/wp-content/uploads/2020/04/4.29-release.pdf …
 https://nvhealthresponse.nv.gov/wp-content/uploads/2020/04/Declaration-of-Emergency-Directive-016.4-29-20-1.pdf …
 https://nvhealthresponse.nv.gov/wp-content/uploads/2020/04/All-Guidance-Issued-on-Directive-016-4-29-20.pdf …",[],"['https://nvhealthresponse.nv.gov/wp-content/uploads/2020/04/4.29-release.pdf', 'https://nvhealthresponse.nv.gov/wp-content/uploads/2020/04/Declaration-of-Emergency-Directive-016.4-29-20-1.pdf', 'https://nvhealthresponse.nv.gov/wp-content/uploads/2020/04/All-Guidance-Issued-on-Directive-016-4-29-20.pdf']",[],59,39,137,[],[],https://twitter.com/GovSisolak/status/1255672147797667842,False,,0,,,,,,,"[{'user_id': '1080586433088258048', 'username': 'GovSisolak'}]",,,,
1255667569916129280,1255667569916129280,1588209452000,2020-04-29,21:17:32,EDT,1080586433088258048,govsisolak,Governor Sisolak,,Tune in at 6:30. I look forward to hearing from @nickcarter and more! 👇👇 https://twitter.com/nickcarter/status/1254889502755164160 …,['nickcarter'],['https://twitter.com/nickcarter/status/1254889502755164160'],[],42,11,101,[],[],https://twitter.com/GovSisolak/status/1255667569916129280,False,https://twitter.com/nickcarter/status/1254889502755164160,0,,,,,,,"[{'user_id': '1080586433088258048', 'username': 'GovSisolak'}, {'user_id': '24325547', 'username': 'nickcarter'}]",,,,
