id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1249847868602626050,1249844661063204871,1586821927000,2020-04-13,16:52:07,PDT,388867581,thejranderson,JR Anderson,,"Have we elected an epidemiologist in this state? If not, that’s who you need to be on the phone with.",['govkristinoem'],[],[],0,1,23,[],[],https://twitter.com/THEJRAnderson/status/1249847868602626050,False,,0,,,,,,,"[{'user_id': '388867581', 'username': 'THEJRAnderson'}, {'user_id': '235251868', 'username': 'govkristinoem'}]",,,,
1249845036570873858,1249844661063204871,1586821252000,2020-04-13,16:40:52,PDT,744964921088049152,wowieezowie,Franquito,,"RIGHT NOW - South Dakota has the highest #Covid19 growth rate in the nation. Great leadership, Kristi!  https://www.google.com/url?sa=t&source=web&cd=1&ved=2ahUKEwiL2L7w99zoAhXKGs0KHdqfArIQFjAAegQIAhAB&url= https%3A%2F%2Fwww.rickscott.senate.gov%2Fsen-rick-scott-releases-daily-update-coronavirus-growth-rate-state-and-florida-county-8&usg=AOvVaw1VAZkdqyDMClibn7EQCUhR … pic.twitter.com/N9VEbxmv2g",['govkristinoem'],['https://www.google.com/url?sa=t&source=web&cd=1&ved=2ahUKEwiL2L7w99zoAhXKGs0KHdqfArIQFjAAegQIAhAB&url=https%3A%2F%2Fwww.rickscott.senate.gov%2Fsen-rick-scott-releases-daily-update-coronavirus-growth-rate-state-and-florida-county-8&usg=AOvVaw1VAZkdqyDMClibn7EQCUhR'],['https://pbs.twimg.com/media/EVhXbZCWoAQRxGB.jpg'],5,10,77,['#covid19'],[],https://twitter.com/wowieezowie/status/1249845036570873858,False,,0,,,,,,,"[{'user_id': '744964921088049152', 'username': 'wowieezowie'}, {'user_id': '235251868', 'username': 'govkristinoem'}]",,,,
1249830220833656832,1249822027206328328,1586817720000,2020-04-13,15:42:00,PDT,42534072,jondpeters,Jon Peters,,"Call my sisters!!  Three are SD nurses and exhausted and that’s NOT going to get better!  Help!  I understand you want to find the fix, we all do, but I want my sisters here long term!  Sioux Falls area is not getting better!",['govkristinoem'],[],[],1,3,25,[],[],https://twitter.com/jondpeters/status/1249830220833656832,False,,0,,,,,,,"[{'user_id': '42534072', 'username': 'jondpeters'}, {'user_id': '235251868', 'username': 'govkristinoem'}]",,,,
1249828618148048896,1249822027206328328,1586817337000,2020-04-13,15:35:37,PDT,17492377,blackhillslvr,Dana P,,"too bad you didn't take advice that would have prevented the outbreak at Smithfield.   Leading to it being the 3rd highest hot spot in the nation (winning!)  

If you are taking a targeted approach, you must be using a scatter gun",['govkristinoem'],[],[],0,1,29,[],[],https://twitter.com/blackhillslvr/status/1249828618148048896,False,,0,,,,,,,"[{'user_id': '17492377', 'username': 'blackhillslvr'}, {'user_id': '235251868', 'username': 'govkristinoem'}]",,,,
1249825428333830146,1249822027206328328,1586816577000,2020-04-13,15:22:57,PDT,1236059779656712192,jka426smo,Dumpster Fire,, https://twitter.com/jburnmurdoch/status/1249821828891250688?s=19 …,['govkristinoem'],['https://twitter.com/jburnmurdoch/status/1249821828891250688?s=19'],[],0,0,11,[],[],https://twitter.com/jka426smo/status/1249825428333830146,False,https://twitter.com/jburnmurdoch/status/1249821828891250688,0,,,,,,,"[{'user_id': '1236059779656712192', 'username': 'jka426smo'}, {'user_id': '235251868', 'username': 'govkristinoem'}]",,,,
1249822297671827458,1249822027206328328,1586815830000,2020-04-13,15:10:30,PDT,744964921088049152,wowieezowie,Franquito,,congrats on having the fastest growth rate in the nation!  https://www.google.com/url?sa=t&source=web&cd=1&ved=2ahUKEwiL2L7w99zoAhXKGs0KHdqfArIQFjAAegQIAhAB&url= https%3A%2F%2Fwww.rickscott.senate.gov%2Fsen-rick-scott-releases-daily-update-coronavirus-growth-rate-state-and-florida-county-8&usg=AOvVaw1VAZkdqyDMClibn7EQCUhR … pic.twitter.com/3s7yHqieeb,['govkristinoem'],['https://www.google.com/url?sa=t&source=web&cd=1&ved=2ahUKEwiL2L7w99zoAhXKGs0KHdqfArIQFjAAegQIAhAB&url=https%3A%2F%2Fwww.rickscott.senate.gov%2Fsen-rick-scott-releases-daily-update-coronavirus-growth-rate-state-and-florida-county-8&usg=AOvVaw1VAZkdqyDMClibn7EQCUhR'],['https://pbs.twimg.com/media/EVhCv0dXYAU3nl9.jpg'],1,4,46,[],[],https://twitter.com/wowieezowie/status/1249822297671827458,False,,0,,,,,,,"[{'user_id': '744964921088049152', 'username': 'wowieezowie'}, {'user_id': '235251868', 'username': 'govkristinoem'}]",,,,
1249798844453466114,1249735396021473282,1586810239000,2020-04-13,13:37:19,PDT,708761088163057668,tjordahl123,Tom Jordahl,,"The Mayor of Sioux Falls provided you with facts, data, and analytics to make a DECISION for a shelter in place order based on exponential increase in risk to population in this small and heavily populated area. You ignored it and spoke around it. smh",['govkristinoem'],[],[],0,0,12,[],[],https://twitter.com/tjordahl123/status/1249798844453466114,False,,0,,,,,,,"[{'user_id': '708761088163057668', 'username': 'tjordahl123'}, {'user_id': '235251868', 'username': 'govkristinoem'}]",,,,
1249798418370871297,1249735396021473282,1586810137000,2020-04-13,13:35:37,PDT,863323735,stevetrezise,Democratic Dog,,Magical thinking is not going to help. Sweden has suspended trials. The French study had no control group. This is just disinformation so you don't have to do anything. Like enforce bar closures for example. And contact tracing,"['govkristinoem', 'potus', 'vp']",[],[],1,0,28,[],[],https://twitter.com/SteveTrezise/status/1249798418370871297,False,,0,,,,,,,"[{'user_id': '863323735', 'username': 'SteveTrezise'}, {'user_id': '235251868', 'username': 'govkristinoem'}, {'user_id': '822215679726100480', 'username': 'POTUS'}, {'user_id': '818910970567344128', 'username': 'VP'}]",,,,
1249791525724106753,1249735396021473282,1586808494000,2020-04-13,13:08:14,PDT,342499624,mkmphotog,michæla mader,,You know what is proven? Shutting things down.,['govkristinoem'],[],[],7,3,85,[],[],https://twitter.com/mkmphotog/status/1249791525724106753,False,,0,,,,,,,"[{'user_id': '342499624', 'username': 'mkmphotog'}, {'user_id': '235251868', 'username': 'govkristinoem'}]",,,,
1249776232138342400,1249735396021473282,1586804848000,2020-04-13,12:07:28,PDT,1093630742406578177,lockusdownnow,Save yourself,,138 more cases since yesterday,['govkristinoem'],[],[],0,1,24,[],[],https://twitter.com/Lockusdownnow/status/1249776232138342400,False,,0,,,,,,,"[{'user_id': '1093630742406578177', 'username': 'Lockusdownnow'}, {'user_id': '235251868', 'username': 'govkristinoem'}]",,,,
